@SampleID:
@Version:0.10.0
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@TaxonomyID:
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE
0.03	5062	5062	S	292	                  Burkholderia cepacia
0.07	13906	13906	S	60552	                  Burkholderia vietnamiensis
0.06	11354	0	G1	2613784	                unclassified Burkholderia
0.05	9970	0	G1	111527	                pseudomallei group
0.03	6006	6006	S	28450	                  Burkholderia pseudomallei
0.16	31455	0	G	1822464	              Paraburkholderia
0.03	5405	0	G1	2615204	                unclassified Paraburkholderia
0.12	23489	0	G	48736	              Ralstonia
0.07	14159	14159	S	305	                Ralstonia solanacearum
0.06	12276	0	G	93217	              Pandoraea
0.95	192542	0	F	80864	            Comamonadaceae
0.23	46659	0	G	34072	              Variovorax
0.13	26851	0	G1	663243	                unclassified Variovorax
0.09	17172	17172	S	34073	                Variovorax paradoxus
0.16	32734	0	G	12916	              Acidovorax
0.07	13783	0	G1	2684926	                unclassified Acidovorax
0.03	6862	6862	S	80867	                Acidovorax avenae
0.09	18943	0	G	47420	              Hydrogenophaga
0.08	16302	0	G1	2610897	                unclassified Hydrogenophaga
0.08	15958	0	G	283	              Comamonas
0.07	14196	0	G	28065	              Rhodoferax
0.04	8965	0	G	80865	              Delftia
0.04	8714	0	G	238749	              Diaphorobacter
0.03	5823	0	G1	2649760	                unclassified Diaphorobacter
0.04	7320	0	G	201096	              Alicycliphilus
0.04	7320	7320	S	179636	                Alicycliphilus denitrificans
0.03	6973	0	G	52972	              Polaromonas
0.03	5933	0	G	174951	              Ramlibacter
0.03	5933	5933	S	94132	                Ramlibacter tataouinensis
0.03	5054	0	G	683756	              Kinneretia
0.03	5054	0	G1	2632542	                unclassified Kinneretia
0.03	5054	5054	S	2714952	                  Kinneretia sp. DAIF2
0.35	69916	0	F	506	            Alcaligenaceae
0.16	31441	0	G	222	              Achromobacter
0.05	10945	10945	S	85698	                Achromobacter xylosoxidans
0.04	8591	8591	S	217203	                Achromobacter spanius
0.12	25177	0	G	517	              Bordetella
0.19	38903	0	O1	224471	            Burkholderiales genera incertae sedis
0.04	8045	0	G	212743	              Rhizobacter
0.03	5165	5165	S	946333	                Rhizobacter gummiphilus
0.29	58556	0	O	206351	          Neisseriales
0.22	43706	0	F	1499392	            Chromobacteriaceae
0.08	16268	0	F1	90153	              Chromobacterium group
0.08	15504	0	G	535	                Chromobacterium
0.05	9148	0	G1	2641838	                  unclassified Chromobacterium
0.04	7807	7807	S	2292447	                    Chromobacterium sp. Rain0013
0.07	14117	0	G	885864	              Jeongeupia
0.07	14117	0	G1	2619593	                unclassified Jeongeupia
0.04	8126	8126	S	1906741	                  Jeongeupia sp. USM3
0.03	5991	5991	S	1009682	                  Jeongeupia sp. HS-3
0.07	14849	0	F	481	            Neisseriaceae
0.04	7992	0	G	1055692	              Chitinolyticbacter
0.04	7992	7992	S	682798	                Chitinolyticbacter meiyuanensis
0.13	26708	0	O	206389	          Rhodocyclales
0.08	15832	0	F	2008794	            Zoogloeaceae
0.05	9509	0	G	12960	              Azoarcus
0.03	5642	0	G1	2629479	                unclassified Azoarcus
0.03	6322	0	G	33057	              Thauera
0.04	8623	0	F	75787	            Rhodocyclaceae
0.07	14319	0	O	32003	          Nitrosomonadales
14.82	2993381	0	C	28211	        Alphaproteobacteria
13.18	2661657	0	O	204455	          Rhodobacterales
13.18	2661657	0	F	31989	            Rhodobacteraceae
10.73	2166024	0	G	265	              Paracoccus
10.10	2039868	2039868	S	266	                Paracoccus denitrificans
0.14	28717	0	G1	246570	                unclassified Paracoccus
0.04	7435	7435	S	2812658	                  Paracoccus sp. H4-D09
0.03	6023	6023	S	2589076	                  Paracoccus sp. AK26
0.03	5522	5522	S	2760307	                  Paracoccus sp. MC1862
0.03	5603	5603	S	2500532	                  Paracoccus sp. Arc7-R13
0.12	24134	24134	S	82367	                Paracoccus pantotrophus
0.05	11025	11025	S	135740	                Paracoccus kondratievae
0.05	10961	10961	S	1077935	                Paracoccus zhejiangensis
0.05	9695	9695	S	147645	                Paracoccus yeei
0.04	7770	7770	S	34004	                Paracoccus aminovorans
0.03	6226	6226	S	2065379	                Paracoccus jeotgali
0.03	6207	6207	S	1545044	                Paracoccus sanguinis
0.03	5614	5614	S	34003	                Paracoccus aminophilus
0.03	5255	5255	S	2560053	                Paracoccus liaowanqingii
0.03	5302	5302	S	1945662	                Paracoccus contaminans
0.53	107116	0	G	309512	              Dinoroseobacter
0.53	107116	107116	S	215813	                Dinoroseobacter shibae
0.23	47318	0	G	1060	              Rhodobacter
0.10	20344	0	G1	196779	                unclassified Rhodobacter
0.06	12640	12640	S	1850250	                  Rhodobacter sp. LPB0142
0.04	7704	7704	S	2033869	                  Rhodobacter sp. CZR27
0.08	15869	15869	S	1061	                Rhodobacter capsulatus
0.05	11104	11104	S	1075	                Rhodobacter blasticus
0.12	24472	0	G	60136	              Sulfitobacter
0.08	16115	0	G1	196795	                unclassified Sulfitobacter
0.12	23835	0	G	74030	              Roseovarius
0.05	11042	0	G1	2614913	                unclassified Roseovarius
0.03	6674	6674	S	540747	                Roseovarius indicus
0.12	23463	0	G	1653176	              Cereibacter
0.12	23463	23463	S	1063	                Cereibacter sphaeroides
0.10	20149	0	G	34008	              Rhodovulum
0.06	11349	0	G1	2631432	                unclassified Rhodovulum
0.03	6685	6685	S	1564506	                  Rhodovulum sp. P5
0.04	8800	8800	S	35806	                Rhodovulum sulfidophilum
0.08	16815	0	G	1443919	              Tabrizicola
0.08	16815	16815	S	2494374	                Tabrizicola piscis
0.08	16120	0	G	1097466	              Defluviimonas
0.08	16120	16120	S	1335048	                Defluviimonas alba
0.08	16115	0	G	875170	              Celeribacter
0.03	5879	5879	S	1208324	                Celeribacter indicus
0.07	13519	0	G	285107	              Thioclava
0.03	7053	7053	S	1549850	                Thioclava electrotropha
0.03	6465	6465	S	1915078	                Thioclava nitratireducens
0.07	13273	0	G	263377	              Salipiger
0.03	5215	5215	S	1229727	                Salipiger profundus
0.05	10870	0	G	302485	              Phaeobacter
0.05	10485	0	G	97050	              Ruegeria
0.03	5982	5982	S	89184	                Ruegeria pomeroyi
0.04	8066	0	G	204456	              Gemmobacter
0.04	8066	0	G1	2636157	                unclassified Gemmobacter
0.04	8066	8066	S	2169400	                  Gemmobacter sp. HYN0069
0.04	8010	0	G	191028	              Leisingera
0.04	7884	0	G	366614	              Haematobacter
0.04	7884	7884	S	195105	                Haematobacter massiliensis
0.04	7691	0	G	1433986	              Actibacterium
0.04	7691	0	G1	2649852	                unclassified Actibacterium
0.04	7691	7691	S	1609966	                  Confluentimicrobium sp. EMB200-NS6
0.03	6934	0	G	93682	              Roseivivax
0.03	6934	0	G1	2639302	                unclassified Roseivivax
0.03	6711	0	G	1434019	              Mameliella
0.03	6711	6711	S	561184	                Mameliella alba
0.03	5818	0	G	360528	              Pelagibaca
0.03	5818	5818	S	1250539	                Pelagibaca abyssi
0.03	5256	0	G	58842	              Sagittula
0.03	5256	0	G1	2624628	                unclassified Sagittula
0.03	5256	5256	S	2009329	                  Sagittula sp. P11
0.03	5211	0	G	1955420	              Silicimonas
0.03	5211	5211	S	1826607	                Silicimonas algicola
0.03	5089	0	G	2795377	              Pelagovum
0.03	5089	5089	S	2588711	                Pelagovum pacificum
1.04	209798	0	O	356	          Hyphomicrobiales
0.26	51694	0	F	82115	            Rhizobiaceae
0.17	35266	0	F1	227290	              Rhizobium/Agrobacterium group
0.13	27040	0	G	379	                Rhizobium
0.04	7148	0	G1	2613769	                  unclassified Rhizobium
0.03	5276	5276	S	348824	                  Rhizobium favelukesii
0.03	6512	0	G	357	                Agrobacterium
0.05	10114	0	F1	227292	              Sinorhizobium/Ensifer group
0.03	6733	0	G	28105	                Sinorhizobium
0.23	46434	0	F	41294	            Bradyrhizobiaceae
0.17	34238	0	G	374	              Bradyrhizobium
0.12	23748	0	G1	2631580	                unclassified Bradyrhizobium
0.07	14599	14599	S	319017	                  Bradyrhizobium sp. WSM471
0.18	37000	0	F	69277	            Phyllobacteriaceae
0.14	28151	0	G	68287	              Mesorhizobium
0.11	21342	0	G1	325217	                unclassified Mesorhizobium
0.11	22529	0	F	119045	            Methylobacteriaceae
0.07	14499	0	G	407	              Methylobacterium
0.04	7807	0	G1	2615210	                unclassified Methylobacterium
0.03	6294	0	G	2282523	              Methylorubrum
0.03	5050	5050	S	408	                Methylorubrum extorquens
0.05	10783	0	F	45401	            Hyphomicrobiaceae
0.04	8860	0	F	2821832	            Stappiaceae
0.04	8513	0	F	335928	            Xanthobacteraceae
0.03	6869	0	F	255475	            Aurantimonadaceae
0.03	5218	0	F	118882	            Brucellaceae
0.03	5218	0	F1	2826938	              Brucella/Ochrobactrum group
0.03	5099	0	G	234	                Brucella
0.25	51384	0	O	204457	          Sphingomonadales
0.20	39866	0	F	41297	            Sphingomonadaceae
0.08	16968	0	G	13687	              Sphingomonas
0.05	9763	0	G1	196159	                unclassified Sphingomonas
0.05	9427	0	G	165695	              Sphingobium
0.05	9846	0	F	335929	            Erythrobacteraceae
0.21	42000	0	O	204441	          Rhodospirillales
0.14	28874	0	F	41295	            Rhodospirillaceae
0.07	13346	0	G	191	              Azospirillum
0.06	13021	0	F	433	            Acetobacteraceae
0.10	19766	0	O	204458	          Caulobacterales
0.10	19766	0	F	76892	            Caulobacteraceae
0.05	9658	0	G	75	              Caulobacter
0.04	7163	0	G	41275	              Brevundimonas
5.34	1077655	0	P1	68525	        delta/epsilon subdivisions
5.26	1062744	0	C	28221	          Deltaproteobacteria
5.03	1016276	0	O	213118	            Desulfobacterales
5.02	1014172	0	F	213119	              Desulfobacteraceae
5.00	1010022	0	G	218207	                Desulfatibacillum
5.00	1010022	1010022	S	218208	                  Desulfatibacillum aliphaticivorans
0.13	25636	0	O	29	            Myxococcales
0.08	15782	0	O1	80811	              Cystobacterineae
0.04	7228	0	F	31	                Myxococcaceae
0.03	5981	0	F	39	                Archangiaceae
0.04	8621	0	O1	80812	              Sorangiineae
0.03	6392	0	F	49	                Polyangiaceae
0.03	5379	0	G	39643	                  Sorangium
0.03	5379	5379	S	56	                    Sorangium cellulosum
0.06	11986	0	O	213115	            Desulfovibrionales
0.06	11583	0	F	194924	              Desulfovibrionaceae
0.04	7192	0	G	872	                Desulfovibrio
0.03	5334	0	O	69541	            Desulfuromonadales
0.07	14910	0	C	29547	          Epsilonproteobacteria
0.07	14203	0	O	213849	            Campylobacterales
0.05	10065	0	F	72294	              Campylobacteraceae
35.99	7268420	0	D1	1783272	      Terrabacteria group
19.10	3856823	0	P	201174	        Actinobacteria
19.02	3840995	0	C	1760	          Actinomycetia
11.86	2395736	0	O	85006	            Micrococcales
6.32	1276340	0	F	85021	              Intrasporangiaceae
5.08	1025263	0	G	367298	                Phycicoccus
3.57	720052	0	G1	2637926	                  unclassified Phycicoccus
3.57	720052	720052	S	2714941	                    Phycicoccus sp. HDW14
1.51	305211	305211	S	1690220	                  Phycicoccus endophyticus
0.53	106559	0	G	53457	                Janibacter
0.21	41680	41680	S	262209	                  Janibacter melonis
0.13	25523	25523	S	53458	                  Janibacter limosus
0.08	16836	0	G1	2649294	                  unclassified Janibacter
0.08	16836	16836	S	2761047	                    Janibacter sp. YB324
0.11	22517	22517	S	857417	                  Janibacter indicus
0.32	64030	0	G	2805645	                Pedococcus
0.32	64030	64030	S	443156	                  Pedococcus dokdonensis
0.18	35902	0	G	99479	                Tetrasphaera
0.18	35902	0	G1	2643346	                  unclassified Tetrasphaera
0.18	35902	35902	S	1813880	                    Tetrasphaera sp. HKS02
0.11	22713	0	G	267408	                Arsenicicoccus
0.11	22713	0	G1	2663846	                  unclassified Arsenicicoccus
0.11	22713	22713	S	1658671	                    Arsenicicoccus sp. oral taxon 190
0.11	21872	0	G	53357	                Intrasporangium
0.11	21872	21872	S	53358	                  Intrasporangium calvum
3.25	655424	0	F	1268	              Micrococcaceae
2.93	592460	0	G	1663	                Arthrobacter
2.89	583186	0	G1	235627	                  unclassified Arthrobacter
2.80	565480	565480	S	904039	                    Arthrobacter sp. NEB 688
0.10	19482	0	G	57493	                Kocuria
0.04	8854	0	G	1742993	                Pseudarthrobacter
0.03	6117	0	G1	2647000	                  unclassified Pseudarthrobacter
0.04	8308	0	G	1269	                Micrococcus
0.04	8028	8028	S	1270	                  Micrococcus luteus
0.03	5860	0	G	596707	                Sinomonas
0.90	182472	0	F	85023	              Microbacteriaceae
0.34	68710	0	G	33882	                Microbacterium
0.18	36948	0	G1	2609290	                  unclassified Microbacterium
0.03	6065	6065	S	162426	                  Microbacterium hominis
0.08	17154	0	G	33886	                Rathayibacter
0.05	10432	0	G1	2609250	                  unclassified Rathayibacter
0.07	14885	0	G	2034	                Curtobacterium
0.05	9352	0	G1	257496	                  unclassified Curtobacterium
0.07	14076	0	G	33877	                Agromyces
0.04	7533	0	G1	2639701	                  unclassified Agromyces
0.05	9245	0	G	110932	                Leifsonia
0.04	8700	0	G	1573	                Clavibacter
0.04	7381	7381	S	28447	                  Clavibacter michiganensis
0.03	5305	0	G	46352	                Agrococcus
0.03	5138	0	G	55968	                Leucobacter
0.46	92381	0	F	2805590	              Ornithinimicrobiaceae
0.25	50058	0	G	125287	                Ornithinimicrobium
0.16	31515	0	G1	2615080	                  unclassified Ornithinimicrobium
0.06	11202	11202	S	2283195	                    Ornithinimicrobium sp. AMA3305
0.06	11660	11660	S	2508882	                    Ornithinimicrobium sp. HY006
0.04	8652	8652	S	2594265	                    Ornithinimicrobium sp. H23M54
0.06	12423	12423	S	1288636	                  Ornithinimicrobium flavum
0.03	6119	6119	S	2593973	                  Ornithinimicrobium pratense
0.21	42322	0	G	265976	                Serinicoccus
0.07	13428	13428	S	767452	                  Serinicoccus chungangensis
0.06	11884	11884	S	247333	                  Serinicoccus marinus
0.05	9872	9872	S	1758689	                  Serinicoccus hydrothermalis
0.04	7136	7136	S	1078471	                  Serinicoccus profundi
0.24	48465	0	F	85016	              Cellulomonadaceae
0.18	37114	0	G	1707	                Cellulomonas
0.10	20226	0	G1	2620175	                  unclassified Cellulomonas
0.03	6855	6855	S	2591145	                    Cellulomonas sp. Y8
0.17	34661	0	F	145357	              Dermacoccaceae
0.07	14899	0	G	57495	                Dermacoccus
0.05	9202	9202	S	1274	                  Dermacoccus nishinomiyaensis
0.03	5697	0	G1	2643059	                  unclassified Dermacoccus
0.03	5697	5697	S	2762331	                    Dermacoccus sp. PAMC28757
0.06	11173	0	G	745364	                Luteipulveratus
0.06	11173	11173	S	571913	                  Luteipulveratus mongoliensis
0.04	8588	0	G	908935	                Yimella
0.04	8588	0	G1	2649892	                  unclassified Yimella
0.04	8588	8588	S	2770551	                    Yimella sp. cx-51
0.13	25482	0	F	85017	              Promicromonosporaceae
0.06	11230	0	G	157920	                Cellulosimicrobium
0.04	7893	0	G1	2624466	                  unclassified Cellulosimicrobium
0.03	6927	0	G	254250	                Isoptericola
0.08	16523	0	F	85020	              Dermabacteraceae
0.07	14927	0	G	43668	                Brachybacterium
0.03	5231	0	G1	2623841	                  unclassified Brachybacterium
0.07	15034	0	F	85019	              Brevibacteriaceae
0.07	15034	0	G	1696	                Brevibacterium
0.03	5422	0	G1	2614124	                  unclassified Brevibacterium
0.05	10804	0	F	145358	              Bogoriellaceae
0.05	10804	0	G	154116	                Georgenia
0.03	7025	0	G1	2626815	                  unclassified Georgenia
0.04	8026	0	F	2805426	              Kytococcaceae
0.04	8026	0	G	57499	                Kytococcus
0.04	8026	8026	S	1276	                  Kytococcus sedentarius
0.04	7581	0	F	125316	              Beutenbergiaceae
0.04	7489	0	F	85018	              Dermatophilaceae
0.03	6083	0	F	145360	              Sanguibacteraceae
0.03	6083	0	G	60919	                Sanguibacter
0.03	5079	0	F	1331736	              Ruaniaceae
0.03	5079	0	G	626119	                Ruania
0.03	5079	0	G1	2648503	                  unclassified Ruania
2.21	445512	0	O	85011	            Streptomycetales
2.21	445512	0	F	2062	              Streptomycetaceae
2.12	428434	0	G	1883	                Streptomyces
0.70	140889	0	G1	2593676	                  unclassified Streptomyces
0.05	10383	10383	S	54571	                  Streptomyces venezuelae
0.31	62945	62945	S	379067	                  Streptomyces bingchenggensis
0.08	15759	15759	S	1929477	                  Streptomyces solisilvae
0.04	8602	0	G	228398	                Streptacidiphilus
0.03	5783	0	G1	2643834	                  unclassified Streptacidiphilus
0.04	8475	0	G	2063	                Kitasatospora
1.88	379583	0	O	85007	            Corynebacteriales
0.73	146901	0	F	1762	              Mycobacteriaceae
0.40	81154	0	G	1866885	                Mycolicibacterium
0.03	5124	5124	S	110539	                  Mycolicibacterium vanbaalenii
0.26	53493	0	G	1763	                Mycobacterium
0.06	12076	0	G1	120793	                  Mycobacterium avium complex (MAC)
0.03	5646	5646	S	1767	                    Mycobacterium intracellulare
0.05	10439	0	G1	2642494	                  unclassified Mycobacterium
0.04	8465	0	G1	2249310	                  Mycobacterium simiae complex
0.03	5519	0	G	670516	                Mycobacteroides
0.54	108350	0	F	85025	              Nocardiaceae
0.35	70524	0	G	1827	                Rhodococcus
0.18	36154	0	G1	192944	                  unclassified Rhodococcus
0.06	11337	11337	S	1830	                  Rhodococcus ruber
0.19	37825	0	G	1817	                Nocardia
0.03	5535	5535	S	135487	                  Nocardia cyriacigeorgica
0.37	74397	0	F	85026	              Gordoniaceae
0.37	74397	0	G	2053	                Gordonia
0.13	26677	0	G1	2657482	                  unclassified Gordonia
0.06	11812	11812	S	2059875	                    Gordonia sp. YC-JH1
0.05	9738	9738	S	84595	                  Gordonia polyisoprenivorans
0.03	6365	6365	S	2420509	                  Gordonia insulae
0.03	5407	5407	S	2054	                  Gordonia bronchialis
0.04	7437	7437	S	1292359	                  Gordonia ajococcus
0.16	32460	0	F	1653	              Corynebacteriaceae
0.16	32460	0	G	1716	                Corynebacterium
0.04	7118	0	F	85029	              Dietziaceae
0.04	7118	0	G	37914	                Dietzia
0.03	7048	0	F	85028	              Tsukamurellaceae
0.03	7048	0	G	2060	                Tsukamurella
1.57	316958	0	O	85009	            Propionibacteriales
1.31	265421	0	F	85015	              Nocardioidaceae
1.09	220028	0	G	1839	                Nocardioides
0.67	136022	0	G1	2615069	                  unclassified Nocardioides
0.22	44462	44462	S	2714939	                    Nocardioides sp. HDW12B
0.05	10542	10542	S	2763008	                    Nocardioides sp. zg-1228
0.07	13431	13431	S	196162	                    Nocardioides sp. JS614
0.04	8280	8280	S	110319	                    Nocardioides sp. CF8
0.04	8217	8217	S	2017486	                    Nocardioides sp. S5
0.03	6714	6714	S	2582905	                    Nocardioides sp. S-1144
0.03	5709	5709	S	2760089	                    Nocardioides sp. S-713
0.03	5570	5570	S	2663857	                    Nocardioides sp. zg-579
0.03	5093	5093	S	2483798	                    Nocardioides sp. 603
0.03	5997	5997	S	2685869	                    Nocardioides sp. ZJ1313
0.03	5082	5082	S	2662361	                    Nocardioides sp. dk884
0.08	16275	16275	S	433659	                  Nocardioides mesophilus
0.04	8901	8901	S	419476	                  Nocardioides marinisabuli
0.04	7428	7428	S	2712223	                  Nocardioides anomalus
0.03	6789	6789	S	1643322	                  Nocardioides ungokensis
0.03	6036	6036	S	2558918	                  Nocardioides cynanchi
0.03	6079	6079	S	449461	                  Nocardioides humi
0.03	5919	5919	S	450734	                  Nocardioides dokdonensis
0.03	5156	5156	S	2518370	                  Nocardioides euryhalodurans
0.09	18441	0	G	2040	                Aeromicrobium
0.05	9612	0	G	86795	                Marmoricola
0.05	9612	9612	S	642780	                  Marmoricola scoriae
0.03	6254	0	G	2044	                Pimelobacter
0.03	6254	6254	S	2045	                  Pimelobacter simplex
0.03	5383	0	G	53387	                Friedmanniella
